Number of rows; Merge sort time(ms); Quick sort time(ms); Bucket sort time(ms); errors
5000;0.017079;0.016388;0.004254;;
10000;0.012763;0.052338;0.00868;;
15000;0.017596;0.09822;0.014253;;
20000;0.024432;0.151856;0.018835;;
25000;0.033907;0.249925;0.025179;;
30000;0.041642;0.400462;0.032718;;
35000;0.047089;0.531834;0.038354;;
40000;0.056719;0.600474;0.043853;;
45000;0.069576;0.752943;0.049955;;
50000;0.068457;0.937532;0.063299;;
55000;0.076321;1.17739;0.064731;;
60000;0.085207;1.38543;0.072191;;
65000;0.095823;1.84911;0.079037;;
70000;0.103139;1.90272;0.09105;;
75000;0.116004;2.11574;0.096868;;
80000;0.129508;2.61175;0.102528;;
85000;0.138205;2.87566;0.113131;;
90000;0.148734;3.09107;0.120254;;
95000;0.173161;3.76771;0.12863;;
100000;0.174868;3.89486;0.137324;;
105000;0.182044;4.90201;0.145726;;
110000;0.191571;4.98473;0.158144;;
115000;0.20059;5.27411;0.163913;;
120000;0.216401;5.57652;0.176147;;
125000;0.214201;7.49375;0.184449;;
130000;0.240941;7.16953;0.192007;;
135000;0.233094;7.77005;0.203634;;
140000;0.244977;8.86651;0.207216;;
145000;0.303987;8.31861;0.215906;;
150000;0.284858;9.53245;0.223413;;
155000;0.297364;9.81038;0.232793;;
160000;0.307261;11.5188;0.241273;;
165000;0.318454;12.0182;0.253686;;
170000;0.327892;12.6342;0.258003;;
175000;0.339128;14.6397;0.27497;;
180000;0.356894;15.2406;0.282003;;
185000;0.369149;14.2286;0.28773;;
190000;0.375535;15.5359;0.300255;;
195000;0.391911;18.4015;0.30794;;
200000;0.397733;17.9465;0.316927;;
205000;0.409627;18.4064;0.326599;;
210000;0.417813;19.8839;0.334438;;
215000;0.424872;21.9796;0.348039;;
220000;0.443032;23.8862;0.352832;;
225000;0.452255;23.2156;0.362255;;
230000;0.464472;23.7467;0.371378;;
235000;0.46949;24.7996;0.384126;;
240000;0.455389;28.4046;0.414683;;
245000;0.465843;28.592;0.40109;;
250000;0.469768;30.9436;0.403395;;
255000;0.521282;29.1278;0.418759;;
260000;0.538205;32.1557;0.423053;;
265000;0.510803;33.8829;0.436775;;
270000;0.551779;37.3691;0.445316;;
275000;0.562278;36.7578;0.454143;;
280000;0.574063;40.6539;0.47056;;
285000;0.547785;36.974;0.475863;;
290000;0.595279;45.7261;0.482675;;
295000;0.643833;43.034;0.516159;;
300000;0.648068;48.2919;0.501158;;
305000;0.650047;47.1328;0.507616;;
310000;0.666581;45.8437;0.519556;;
315000;0.676999;50.7216;0.528838;;
320000;0.699896;50.7271;0.538455;;
325000;0.701355;51.6515;0.545859;;
330000;0.707284;54.9869;0.555606;;
335000;0.729046;59.9548;0.570093;;
340000;0.736258;55.3964;0.585148;;
345000;0.73867;63.9033;0.595081;;
350000;0.78184;61.0828;0.605984;;
355000;0.773953;63.1806;0.621502;;
360000;0.785384;68.3087;0.635526;;
365000;0.799828;69.0354;0.645655;;
370000;0.802083;71.9851;0.653467;;
375000;0.808151;79.4365;0.661238;;
380000;0.825386;72.7196;0.673281;;
385000;0.851491;77.6713;0.681842;;
390000;0.849478;89.6398;0.69453;;
395000;0.888894;79.7959;0.697773;;
400000;0.875317;84.5313;0.709654;;
